,SCs,Tc
150,Eu1Ba2Cu3O6.9,91
151,Y0.99La0.01Ba2Cu3O7.07,91
152,Y0.68Tb0.32Ba2Cu3O7,91
153,Hg0.8Mn0.2Ba2Cu1O4.2,91
154,Y1Ba2Cu2.95Al0.05O6.93,91
155,Y0.9Tb0.1Ba2Cu3O7,91
156,Er1Ba2Cu3O6.953,90.9
157,Y1Ba2Cu2.97Ga0.03O7,90.88
158,Tl1Ba2Ca0.9Nd0.1Cu2O7,90.8
159,Gd1Ba2Cu3O6.94,90.8
160,Y1Ba2Cu2.98Fe0.02O7,90.7
161,Sm1Ba2Cu3O6.941,90.7
162,Sm1Ba2Cu3O6.99,90.7
163,Y1.04Ba1.96Cu3O6.8,90.6
164,Y1Ba2Cu3O6.97,90.575
165,Y1Ba1.8Rb0.2Cu3O6.56,90.55
166,Hg0.9Re0.1Ba2Cu1O4.35,90.5
167,Nd1Ba2Cu3O6.09,90.5
168,Y1Ba2Cu2.985Ni0.015O6.92,90.5
169,Y1Ba1.8Sr0.2Cu3O6.8,90.5
170,Y1Ba2Cu4O6.998,90.5
171,Y0.85Cs0.15Ba2Cu3O6.5,90.4
172,Y1Ba2Cu2.98Fe0.02O6.93,90.4
173,Tm1Ba2Cu3O6.91,90.36
174,Y1Ba2Cu2.98Zr0.02O6.84,90.2
175,Y0.85K0.15Ba2Cu3O6.48,90.15
176,Y1Ba2Cu2.7In0.3O6.9,90
177,Y1Ba2Cu2.9955Zn0.0045O6.95,90
178,Dy1Ba2Cu3O6.79,90
179,Sm1Ba2Cu3O6.858,90
180,Eu1Ba2Cu3O7.01,90
181,Gd1Ba2Cu3O6.95,90
182,Dy1Ba2Cu3O6.84,90
183,Y1Re0.1Ba2Cu2.9O7.08,90
184,Ca1La1Ba1Cu2.8P0.2O7,90
185,Y1Re0.15Ba2Cu2.85O7.13,90
186,Y1Ba2Cu3O6.869,90
187,Er1Ba2Cu2.95Ga0.05O6.75,90
188,Sm1Ba2Cu3O6.89,90
189,Nd1Ba2Cu3O6.94,90
190,Dy1Ba2Cu3O6.68,90
191,Er1Ba2Cu3O6.92,90
192,Y1Ba2Cu2.9Sn0.1O7.28,90
193,Sm1Ba2Cu3O6.92,90
194,Y1Ba2Cu2.85Ag0.15O7,90
195,Y0.9Cd0.1Ba2Cu3O7,89.9
196,Y0.985Ca0.015Ba2Cu3O6.98,89.9
197,Tm1Ba2Cu3O6.96,89.88
198,Tm1Ba2Cu3O6.94,89.88
199,Tm1Ba2Cu3O6.99,89.8
200,Y1Ba2Cu3O6.887,89.8
201,Sm1.05Ba1.95Cu3O6.87,89.75
202,Lu0.85Pr0.15Ba2Cu3O7,89.7
203,Y1Ba1.75Sr0.25Cu3O6.928,89.6
204,Y1Ba2Cu3O6.98,89.5125
205,Y0.95Pr0.05Ba2Cu3O6.96,89.5
206,Y0.984Ca0.016Ba2Cu3O6.986,89.5
207,Yb1Ba2Cu3O6.93,89.5
208,Tm1Ba2Cu3O6.95,89.465
209,Y0.95K0.05Ba2Cu3O6.6,89.4
210,Bi2Sr2Ca0.75Y0.25Cu2O8,89.4
211,Y1Ba2Cu3O6.852,89.2
212,Y1Ba2Cu2.982Zn0.018O6.9,89.2
213,Bi2Sr1.8Ca1Dy0.2Cu2O8.26,89.2
214,Yb0.95Pr0.05Ba2Cu3O6.9,89.1
215,Y1Ba2Cu3O6.88,89.025
216,Hg0.9W0.1Ba2Cu1O4.2,89
217,Y1Ba1.9Sr0.1Cu3O6.89,89
218,Y1Ba1.8Sr0.2Cu3O6.98,89
219,Bi2Sr2Ca0.9Y0.1Cu2O8.2,89
220,Yb0.925Pr0.075Ba2Cu3O6.97,89
221,Nd1Ba2Cu3O6.95,89
222,Y1Ba1.5Sr0.5Cu3O6.96,89
223,Y1Ba2Cu3O6.995,89
224,Y1Ba1.9Sc0.1Cu3O6.55,88.95
225,Y0.85Ca0.15Ba2Cu4O8,88.9
226,Bi2Sr1.8Ca1Gd0.2Cu2O8.26,88.9
227,Bi2Sr1.8Ca1Eu0.2Cu2O8.25,88.9
228,Y1Ba1.8Sc0.2Cu3O6.64,88.8
229,Y0.7Ca0.3Ba2Cu3O6.87,88.7
230,Y1Ba2Cu2.95Fe0.05O6.9,88.7
231,Y1Ba2Cu3O6.82,88.65
232,Y0.9Ca0.1Ba2Cu3O6.9,88.6
233,Sm1.05Ba1.95Cu3O6.99,88.5
234,Y0.88Ca0.12Ba2Cu4O8,88.5
235,Y1Ba2Cu3O6.965,88.5
236,Y1Ba2Cu2.97Ni0.03O6.94,88.5
237,Y1Ba1.6Sr0.4Cu3O6.8,88.5
238,Yb0.9Pr0.1Ba2Cu3O6.97,88.5
239,Yb1Ba2Cu3O6.95,88.4
240,Y0.95Ca0.05Ba2Cu3O6.94,88.2
241,Sm1Ba2Cu3O6.927,88.1
242,Y0.9Pr0.1Ba2Cu3O6.97,88.1
243,Y1Ba2Cu2.95Ga0.05O6.69,88
244,Yb1Ba2Cu3O6.97,88
245,Sr1.68Ba0.32Cu1O3.4,88
246,Y1Re0.05Ba2Cu2.95O6.94,88
247,Er1Ba2Cu3O6.935,88
248,Y1Ba2Cu2.95Al0.05O7,88
249,Yb0.9Pr0.1Ba2Cu3O6.92,88
250,Er1Ba2Cu2.97Fe0.03O6.94,88
251,Y0.95Pr0.05Ba2Cu3O6.965,88
252,Y1Ba2Cu2.9925Zn0.0075O6.92,88
253,Dy1Ba2Cu2.98Fe0.02O6.88,88
254,Y0.95Ca0.05Ba2Cu3O6.79,88
255,Y1Ba2Cu3O6.828,88
256,Y1Ba2Cu2.94Ga0.06O7,87.99
257,Tm0.9Pr0.1Ba2Cu3O6.95,87.9
258,Y0.8Ca0.2Ba2Cu4O8,87.8
259,Sm1Ba2Cu3O6.773,87.8
260,Bi2Sr2Ca0.8Y0.2Cu2O8.2,87.8
261,Y1Ba2Cu2.82Fe0.18O6.895,87.7
262,Bi2Sr1.8Ca1Nd0.2Cu2O8.26,87.7
263,Nd1.1Ba1.9Cu3O6.96,87.6
264,Y1Ba1.5Sr0.5Cu3O6.938,87.6
265,Y1Ba2Cu2.94Fe0.06O6.89,87.5
266,Y1Ba2Cu2.8Cr0.2O7,87.5
267,Y1Ba2Cu2.98Ni0.02O6.95,87.5
268,Bi2Sr2Ca0.9Y0.1Cu2O8.23,87.5
269,Y1Ba2Cu3O6.858,87.4
270,Y0.9Ca0.1Ba2Cu4O8,87.35714286
271,Hg0.9Re0.1Ba2Cu1O4.33,87.2
272,Tm1Ba2Cu3O6.86,87.2
273,Yb1Ba2Cu3O6.71,87
274,Ho0.9Ca0.1Ba2Cu4O8,87
275,Y0.9Ca0.1Ba1.8La0.2Cu3O6.97,87
276,Tl1Sr2Ca0.7Y0.3Cu2O6.84,87
277,Bi1.6Pb0.4Sr1.8Ca1Nd0.2Cu2O8.11,87
278,Yb0.9Ca0.1Ba1.8Sr0.2Cu4O8,87
279,Ho0.8Ca0.2Ba2Cu4O8,87
280,Y1Ba2Cu2.9Fe0.1O7.293,87
281,Bi1.6Pb0.4Sr2Ca0.8Nd0.2Cu2O8.16,87
282,Tl1Sr2Ca0.6Y0.4Cu2O6.86,87
283,Tl1Sr2Ca0.1Y0.9Cu2O6.97,87
284,Ho0.85Ca0.15Ba2Cu4O8,87
285,Ho0.7Ca0.3Ba2Cu4O8,87
286,Y0.98Ca0.02Ba2Cu4O8,87
287,Y0.8Sc0.2Ba2Cu4O8,87
288,Y1Ba2Cu3O6.791,86.9
289,Gd0.95Hf0.05Ba2Cu3O6.91,86.9
290,Lu0.8Pr0.2Ba2Cu3O7,86.8
291,Gd1Ba1.95Pr0.05Cu3O7.03,86.8
292,Y0.97Ca0.03Ba2Cu3O6.97,86.7
293,Yb0.85Pr0.15Ba2Cu3O6.97,86.5
294,Y1Ba2Cu2.99Zn0.01O7,86.5
295,Y1Ba1.5Sr0.5Cu3O6.91,86.3
296,Y1Ba1.5Sr0.5Cu3O6.9,86.3
297,Dy1Ba1.5Sr0.5Cu3O6.9,86.3
298,Y0.925Ca0.075Ba2Cu3O6.93,86.3
299,Y1Ba2Cu2.94Ni0.06O6.9,86.3
300,Y0.93Ca0.07Ba2Cu4O8,86.25
301,Y1Ba2Cu2.92Fe0.08O7,86.2
302,Y1Ba2Cu2.955Ni0.045O6.95,86.2
303,Tl1Ba2Ca0.9Y0.1Cu2O7,86.1
304,Y1Ba2Cu2.985Zn0.015O6.95,86
305,Y1Ba2Cu2.98Ni0.02O6.94,86
306,Y1Ba1.5Sr0.5Cu3O6.98,86
307,Y0.9Ca0.1Ba1.9La0.1Cu3O6.95,86
308,Bi2Sr2Ca0.7Y0.3Cu2O8.3,86
309,Gd1Ba1Sr1Cu3O6.94,86
310,Er1Ba2Cu2.9Ga0.1O6.78,86
311,Y0.8Ca0.2Ba2Cu2.85Co0.15O6.84,86
312,Y0.76Ca0.24Ba2Cu2.85Co0.15O6.8,86
313,Y1Ba1.4Sr0.6Cu3O6.8,86
314,Dy1Ba2Cu3O6.879,86
315,Y1Ba2Cu4O7.96,86
316,Y1Ba2Cu2.94Al0.06O6,86
317,Y1Ba1.2Sr0.8Cu3O6.8,86
318,Nd1Ba1.6Sr0.4Cu3O6.94,86
319,Y0.5La0.5Ba2Cu3O7.01,86
320,Er0.95Hf0.05Ba2Cu3O6.938,86
321,Er0.95Ca0.05Ba2Cu3O6.935,86
322,Yb0.9Ca0.1Ba1.6Sr0.4Cu4O8,86
323,Bi2Sr2Ca0.8Y0.2Cu2O8.34,86
324,Y1Ba1Sr1Cu2.9Mo0.1O7.16,86
325,Y1Ba1.5Sr0.5Cu3O6.95,85.9
326,Y0.9Pr0.1Ba2Cu3O6.98,85.9
327,Y0.95Pr0.05Ba2Cu3O6.85,85.5
328,Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5
329,Y1Ba1.25Sr0.75Cu3O6.928,85.5
330,Gd1Ba1.5Sr0.5Cu3O6.93,85.5
331,Y1Ba1.9Ca0.1Cu4O8,85.4
332,Y0.9Ca0.1Ba2Cu3O6.87,85.4
333,Dy1Ba1.4Sr0.6Cu3O6.91,85.2
334,Y0.95Ca0.05Ba2Cu4O8,85.16
335,Nd0.97Pr0.03Ba2Cu3O7,85.1
336,Yb1Ba2Cu2.982Zn0.018O6.9,85.1
337,Bi1Pb1Sr2Y0.5Ca0.5Cu2O8,85
338,Y1Ba2Cu2.94Fe0.06O6.929,85
339,Y0.4La0.6Ba2Cu3O6.99,85
340,Y1Ba2Cu2.84Fe0.16O7.303,85
341,Y1Ba2Cu2.8Al0.2O6.91,85
342,Tl1Sr2Ca0.8Y0.2Cu2O6.82,85
343,Y0.9Pr0.1Ba2Cu3O6.965,85
344,Y0.6La0.4Ba2Cu3O6.92,85
345,Y1Ba2Cu2.94Ni0.06O6.97,85
346,Y1Ba2Cu2.9Al0.1O7.1,85
347,Y1Ba2Cu2.95Ni0.05O6.94,85
348,Y1Ba1Sr1Cu2.95Mo0.05O7.07,85
349,Yb0.9Ca0.1Ba1.4Sr0.6Cu4O8,85
350,Lu0.9Pr0.1Ba2Cu3O2,85
351,Gd1.05Ba1.95Cu3O6.94,85
352,Er1Ba2Cu3O6.67,85
353,Y1Ba2Cu2.94Fe0.06O6.85,85
354,Y1Ba1.9Ca0.1Cu3O6.84,85
355,Y1Ba2Cu2.98Zn0.02O7,85
356,Y1Ba2Cu2.94Ni0.06O7.01,85
357,Y1Ba2Cu3O6.838,84.8
358,Y1Ba2Cu3O6.937,84.8
359,Tm0.95Ca0.05Ba2Cu4O8,84.8
360,Dy1Ba1.2Sr0.8Cu3O6.9,84.7
361,Hg1.4Tl0.6Ba2Y0.6Ca0.4Cu2O7.78,84.6
362,Y1Ba1.3Sr0.7Cu3O6.98,84.5
363,Nd0.9Ca0.1Ba2Cu3O6.63,84.5
364,Gd0.9Hf0.1Ba2Cu3O6.88,84.2
365,Dy1Ba1.8Sr0.2Cu3O6.89,84.2
366,Y0.8Ca0.2Ba2Cu3O6.78,84.2
367,Y0.8Ca0.2Ba2Cu3O6.8,84.1
368,Y0.9Pr0.1Ba2Cu3O7,84.1
369,Y0.9Ca0.1Ba2Cu3O6.8,84.1
370,Yb0.9Ca0.1Ba1.2Sr0.8Cu4O8,84
371,Y0.8Ca0.2Ba1.8La0.2Cu3O6.94,84
372,Bi2Sr1.3Ca0.7Cu1O6.15,84
373,Hg1.4Tl0.6Ba2Y0.5Ca0.5Cu2O7.74,84
374,Y0.9Ca0.1Ba2Cu2.85Co0.15O6.91,84
375,Eu1Ba1Sr1Cu3O6.95,84
376,Y1Ba2Cu2.993Zn0.007O7,84
377,Gd0.922Pr0.078Ba2Cu3O7,84
378,Y0.8La0.2Ba2Cu3O6.9,84
379,Y0.925Ca0.075Ba2Cu4O8,83.8
380,Y1Ba2Cu2.91Ga0.09O7,83.71
381,Sm1Ba2Cu3O6.813,83.6
382,Tm1Ba2Cu3O6.87,83.6
383,Y1Ba2Cu2.94Ni0.06O6.94,83.5
384,Y1Ba1Sr1Cu3O6.96,83.5
385,Y0.94Ca0.06Ba2Cu3O6.97,83.4
386,Y1Ba1.926Ca0.074Cu4O8,83.3
387,Y0.9Ca0.1Ba2Cu3O6.93,83.3
388,Y1Ba1Sr1Cu3O6.947,83.3
389,Tm0.93Ca0.07Ba2Cu4O8,83.3
390,Er0.95Ca0.05Ba2Cu4O8,83.2
391,Dy1Ba1Sr1Cu3O6.93,83
392,Y0.7La0.3Ba2Cu3O6.92,83
393,Gd1Ba1Sr1Cu3O6.93,83
394,Er1Ba2Cu2.91Fe0.09O6.96,83
395,Dy1Ba2Cu2.98Ni0.02O6.72,83
396,Bi1Pb1Sr2Y0.6Ca0.4Cu2O8,83
397,Dy1Ba2Cu2.95Ga0.05O6.69,83
398,Y0.85Ca0.15Ba2Cu3O6.65,83
399,Y0.95Ca0.05Ba2Cu2.85Co0.15O6.82,83
400,Y0.6Ca0.4Ba1.4La0.6Cu3O7.07,83
401,Y0.899Ca0.101Ba2Cu3O6.943,83
402,Hg1Ba2Cu0.97Zn0.03O4.081,83
403,Y0.9Pr0.1Ba2Cu3O6.96,83
404,Eu0.9Pr0.1Ba2Cu3O6.78,83
405,Y1Ba2Cu2.9775Zn0.0225O6.93,83
406,Y0.75Ca0.25Ba2Cu4O8,82.9
407,Er0.9Hf0.1Ba2Cu3O6.862,82.9
408,Er0.85Pr0.15Ba2Cu3O7,82.9
409,Y1Ba1Sr1Cu3O6.98,82.8
410,Y1Ba2Cu2.975Zn0.025O6.93,82.8
411,Y0.9Ca0.1Ba2Cu3O6.72,82.6
412,Er0.9Ca0.1Ba2Cu3O6.93,82.5
413,Nd1Ba2Cu3O7.04,82.5
414,Y1Ba2Cu3O6.795,82.5
415,Y0.6Ca0.4Ba1.5La0.5Cu3O7.01,82.4
416,Gd0.95Mo0.05Ba2Cu3O6.948,82.4
417,Y0.8Ca0.2Ba2Cu2.75Co0.25O7.01,82.2
418,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82
419,La1Ba1.87Ca0.13Cu3O6.923,82
420,Y0.9Ca0.1Ba2Cu3O6.67,82
421,Y0.7Ca0.3Ba1.7La0.3Cu3O6.92,82
422,Y0.4Ca0.6Ba1.2La0.8Cu3O7.07,82
423,Y0.9Ca0.1Ba1.9La0.1Cu3O6.96,82
424,Y0.95Ca0.05Ba1.6Sr0.4Cu4O7.8,82
425,Y0.6Ca0.4Ba1.3La0.7Cu3O7.12,82
426,Y0.9Pr0.1Ba2Cu3O6.82,82
427,Y0.76Ca0.24Ba2Cu2.94Co0.06O6.81,82
428,Dy1Ba2Cu2.96Ni0.04O6.73,82
429,Y0.3La0.7Ba2Cu3O6.98,82
430,Y1Ba1.6Sr0.4Cu4O7.95,82
431,Y0.9Ca0.1Ba1.7La0.3Cu3O7.04,82
432,Y1Ba1.4Sr0.6Cu4O7.95,82
433,Er1Ba2Cu2.85Ga0.15O6.69,82
434,Y0.8Ca0.2Ba2Cu3O6.84,82
435,Nd1Ba1.8Sr0.2Cu3O6.927,82
436,Y1Ba2Cu2.6Fe0.4O7.401,82
437,Ba1.6Sr0.4Yb1Cu3O6.96,82
438,Yb0.8Pr0.2Ba2Cu3O6.97,82
439,Y1Ba0.8Sr1.2Cu3O6.8,82
440,Dy1Ba2Cu2.96Fe0.04O6.89,82
441,Y0.4Ca0.6Ba1.1La0.9Cu3O7.12,82
442,Gd1Ba1Sr1Cu3O7,82
443,Hg1Ba2Cu0.97Zn0.03O4.073,82
444,Y0.7Ca0.3Ba1.4La0.6Cu3O7.12,82
445,Y1Ba2Cu4O7.95,82
446,Y1Ba2Cu2.68Fe0.32O7.343,82
447,Y1Ba2Cu2.89Al0.11O7,82
448,Y1Ba1.8Sr0.2Cu4O7.95,82
449,Y0.97Ca0.03Ba2Cu4O8,81.9
450,Y0.85Pr0.15Ba2Cu3O6.97,81.8
451,Y0.9Ca0.1Ba2Cu3O7,81.8
452,Gd0.85Hf0.15Ba2Cu3O6.84,81.8
453,Y0.9Ca0.1Ba2Cu3O6.98,81.8
454,Y0.85Pr0.15Ba2Cu3O6.95,81.6
455,Y0.9Ca0.1Ba2Cu3O6.96,81.5
456,Dy1Ba1Sr1Cu3O6.94,81.5
457,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.56,81.35
458,Tl1Ba2Ca0.7Gd0.3Cu2O7,81.25
459,Tm0.97Ca0.03Ba2Cu4O8,81.2
460,Y0.9Ca0.1Ba2Cu3O6.91,81.1
461,Y0.9Sc0.1Ba2Cu4O8,81
462,Yb0.95Pr0.05Ba1.7Sr0.3Cu3O6.91,81
463,Y1Ba1Sr1Cu3O6.91,81
464,Y1Ba2Cu2.902Pt0.098O6.4,81
465,Eu1Ba1Sr0.9Ca0.1Cu3O6.95,81
466,Eu1.1Ba1.9Cu3O7.07,81
467,Ba1.6Sr0.4Yb1Cu3O6.8,81
468,Yb1Ba1.7Sr0.3Cu3O6.9,81
469,Y1Ba1.36Sr0.64Cu4O8,81
470,Ho0.95Ca0.05Ba2Cu4O8,81
471,Gd1Ba2Cu3O6.8,81
472,Yb1Ba1.8Sr0.2Cu4O8,81
473,Y1Ba2Cu2.97Zn0.03O6.9,81
474,Sm1Ba2Cu2.98Zn0.02O6.82,81
475,Y1Ba2Cu2.9Ga0.1O6.8,81
476,Er1Ba2Cu2.97Zn0.03O6.93,81
477,Y0.2La0.8Ba2Cu3O7,81
478,Y1Ba2Cu2.97Zn0.03O6.95,81
479,Dy1Ba2Cu2.98Zn0.02O6.87,81
480,Y0.9Pr0.1Ba2Cu3O6.91,81
481,Pr1Ba2Cu3O6.8,81
482,Y0.8Ca0.2Ba2Cu3O6.64,81
483,Dy1Ba2Cu2.94Ni0.06O6.72,81
484,Y1Ba2Cu2.97Zn0.03O6.93,81
485,Yb0.9Pr0.1Ba1.7Sr0.3Cu3O6.9,81
486,Y0.8Ca0.2Ba2Cu3O6.53,80.9
487,Y1Ba1Sr1Cu3O6.93,80.8
488,Y1Ba1.65Sr0.35Cu4O8,80.8
489,Y0.975Ca0.025Ba2Cu4O8,80.75
490,Dy1Ba1.6Sr0.4Cu3O6.89,80.6
491,Y0.85Ca0.15Ba2Cu3O6.58,80.6
492,Y0.85Ca0.15Ba2Cu2.75Co0.25O7.01,80.6
493,Y1Ba2Cu3O6.861,80.5
494,Bi1.7Pb0.3Sr2Ca1Cu2O8,80.5
495,Y1Ba2Cu2.9Ni0.1O6.92,80.5
496,Bi1.7Pb0.3Sr2Ca1Cu2O8.05,80.5
497,Y1Ba0.74Sr1.26Cu3O6.98,80.5
